theme,program,cflags,status,time_seconds,result,stage,exit_code,reason
Numerical Optimization,nelder_mead_simplex,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Numerical Optimization,conjugate_gradient_nonlinear,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Numerical Optimization,random_search,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,lennard_jones_fluid,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,crack_propagation_simulation,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,elastic_collision_simulation_2d,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,fdtd_electromagnetic_wave_2d,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,percolation_simulation,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,protein_folding_simplified,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,smoothed_particle_hydrodynamics,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,n_body_simulation_barnes_hut,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,fea_truss_analysis,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,schrodinger_equation_solver_1d,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,lattice_boltzmann_flow,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,ising_model_3d_metropolis,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,doppler_effect_simulation,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,quantum_tunneling_simulation,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,wave_equation_solver_2d,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,particle_in_cell_plasma,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,monte_carlo_hard_spheres,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,galaxy_collision_simulation,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,quantum_monte_carlo,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,n_body_simulation_brute_force,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,magnetohydrodynamics_2d,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,brownian_motion_simulation,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,fea_heat_conduction_2d,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,ising_model_2d_metropolis,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,vortex_method_simulation,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,navier_stokes_solver_2d,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Physical Modeling And Simulations,acoustic_ray_tracing,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Audio Synthesis And Analysis,pitch_detection_yin,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Audio Synthesis And Analysis,harmonic_percussive_source_separation,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Audio Synthesis And Analysis,onset_detection_spectral_flux,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Audio Synthesis And Analysis,beat_tracking_dynamic_programming,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Audio Synthesis And Analysis,physical_modeling_karplus_strong,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Audio Synthesis And Analysis,subtractive_synthesis_run,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Audio Synthesis And Analysis,wavetable_synthesis_run,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Audio Synthesis And Analysis,independent_component_analysis_fastica,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Audio Synthesis And Analysis,mfcc_extraction,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Audio Synthesis And Analysis,chromagram_extraction,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Audio Synthesis And Analysis,spectral_centroid_analysis,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Audio Synthesis And Analysis,phase_vocoder_time_stretch,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Audio Synthesis And Analysis,dynamic_range_compression,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Audio Synthesis And Analysis,fm_synthesis_run,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Audio Synthesis And Analysis,phase_vocoder_pitch_shift,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Audio Synthesis And Analysis,granular_synthesis_run,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Audio Synthesis And Analysis,additive_synthesis_run,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Audio Synthesis And Analysis,convolution_reverb_apply,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Audio Synthesis And Analysis,constant_q_transform,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Parsing And Formal Language Recognition,cyk_parser,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Parsing And Formal Language Recognition,convert_nfa_to_dfa,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Parsing And Formal Language Recognition,lexical_analyzer_run,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Parsing And Formal Language Recognition,generate_lr_parsing_table,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Parsing And Formal Language Recognition,recursive_descent_parser,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Parsing And Formal Language Recognition,glr_parser,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Parsing And Formal Language Recognition,context_sensitive_grammar_parser_lba,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Parsing And Formal Language Recognition,peg_parser,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Parsing And Formal Language Recognition,regex_nfa_simulation,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Parsing And Formal Language Recognition,regex_dfa_execution,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Parsing And Formal Language Recognition,earley_parser,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Cryptography,ecc_scalar_multiplication,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Cryptography,ecdsa_verify_signature,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Cryptography,sha3_proof_of_work,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Cryptography,bcrypt_hashing,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Cryptography,triple_des_bruteforce,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Cryptography,des_bruteforce,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Cryptography,ecdsa_sign_message,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Cryptography,argon2_hashing,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Cryptography,general_number_field_sieve_simulation,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Cryptography,scrypt_hashing,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Cryptography,aes_bruteforce,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Cryptography,pbkdf2_hashing,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Cryptography,sha256_proof_of_work,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Cryptography,rsa_encrypt,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Cryptography,diffie_hellman_key_exchange,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Cryptography,discrete_logarithm_bruteforce,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Cryptography,ecdsa_key_generation,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Cryptography,rsa_decrypt,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Boolean Satisfiability (Sat) And Constraint Solving,smt_solver_difference_logic,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Boolean Satisfiability (Sat) And Constraint Solving,max_sat_solver_branch_and_bound,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Boolean Satisfiability (Sat) And Constraint Solving,resolution_theorem_proving,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Boolean Satisfiability (Sat) And Constraint Solving,build_binary_decision_diagram_from_cnf,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Boolean Satisfiability (Sat) And Constraint Solving,walksat_local_search_solver,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Boolean Satisfiability (Sat) And Constraint Solving,csp_forward_checking,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Boolean Satisfiability (Sat) And Constraint Solving,smt_solver_uninterpreted_functions,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Boolean Satisfiability (Sat) And Constraint Solving,two_sat_solver,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Boolean Satisfiability (Sat) And Constraint Solving,csp_arc_consistency_ac3,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Boolean Satisfiability (Sat) And Constraint Solving,dpll_solver,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Boolean Satisfiability (Sat) And Constraint Solving,csp_min_conflicts_local_search,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Boolean Satisfiability (Sat) And Constraint Solving,csp_backtracking_search,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Boolean Satisfiability (Sat) And Constraint Solving,cdcl_solver_basic,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,pca,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,gradient_boosting_train,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,linear_regression_sgd,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,k_means_clustering,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,genetic_algorithm,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,batch_normalization,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,mlp_classifier_train,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,lstm_cell_forward_pass,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,ridge_regression,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,convolution_2d,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,backpropagation_feedforward,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,svm_rbf_kernel_train,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,hierarchical_clustering,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,decision_tree_train,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,relu_activation_batch,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,softmax_activation_batch,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,dbscan_clustering,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,mlp_classifier_predict,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,knn_classification,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,svm_linear_train,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,transformer_encoder_layer_forward,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,svr_train,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,random_forest_train,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,collaborative_filtering_als,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,gru_cell_forward_pass,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,max_pooling_2d,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,polynomial_regression,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,logistic_regression_train,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,t_sne,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,naive_bayes_train,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,adaboost_train,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Machine Learning,matrix_multiplication,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
